"","Date","location","key","value","month"
"280",2018-10-04,"Mushima (New port)","RP",18.5810564061484,10
"281",2018-10-05,"Mushima (Old port)","RP",10.5446385599315,10
"282",2018-10-05,"Mushima (New port)","RP",21.7562999337453,10
"283",2018-10-06,"Mushima (Old port)","RP",6.82146725457769,10
"284",2018-10-06,"Mushima (New port)","RP",0.845382999978247,10
"285",2018-10-07,"Mushima (Old port)","RP",16.3952747028398,10
"286",2018-10-07,"Mushima (New port)","RP",25.5353507798122,10
"287",2018-10-08,"Mushima (Old port)","RP",21.1149281764589,10
"288",2018-10-08,"Mushima (New port)","RP",5.76771206575053,10
"289",2018-10-09,"Mushima (Old port)","RP",15.0422273006434,10
"290",2018-10-09,"Mushima (New port)","RP",22.6425220728235,10
"291",2018-10-10,"Mushima (Old port)","RP",19.1945115862643,10
"292",2018-10-10,"Mushima (New port)","RP",11.5219412843857,10
"293",2018-10-11,"Mushima (Old port)","RP",10.8764061515385,10
"294",2018-10-11,"Mushima (New port)","RP",21.6956943372963,10
"295",2018-10-12,"Mushima (Old port)","RP",0.795472212042014,10
"296",2018-10-12,"Mushima (New port)","RP",16.4495093204642,10
"297",2018-10-13,"Mushima (Old port)","RP",8.8837853283259,10
"298",2018-10-13,"Mushima (New port)","RP",15.2202594969246,10
"299",2018-10-14,"Mushima (Old port)","RP",15.7007699531189,10
"300",2018-10-14,"Mushima (New port)","RP",19.9677128247924,10
"301",2018-10-15,"Mushima (Old port)","RP",12.670516528625,10
"302",2018-10-15,"Mushima (New port)","RP",27.7150279817153,10
"303",2018-10-17,"Mushima (Old port)","RP",29.0224537508874,10
"304",2018-10-17,"Mushima (New port)","RP",20.4450148524999,10
"305",2018-10-18,"Mushima (Old port)","RP",24.3246551200208,10
"306",2018-10-18,"Mushima (New port)","RP",16.301949675575,10
"307",2018-10-19,"Mushima (Old port)","RP",19.2569832724967,10
"308",2018-10-19,"Mushima (New port)","RP",13.7776720926155,10
"309",2018-10-20,"Mushima (Old port)","RP",17.8225021661952,10
"310",2018-10-20,"Mushima (New port)","RP",16.0714015251312,10
"311",2018-10-21,"Mushima (Old port)","RP",17.7057584348446,10
"312",2018-10-21,"Mushima (New port)","RP",22.3737088103585,10
"313",2018-10-22,"Mushima (Old port)","RP",9.71921248186561,10
"314",2018-10-22,"Mushima (New port)","RP",25.2559238618,10
